entity,service_type,parent_class,class,is_amenity,type,selected,,,,Note
Dry cleaning,services,,,,,no,,,,repetition
Airport shuttle,services,,,,,no,,,,repetition
Shuttle service,services,,,,,no,,,,repetition
Lockers,services,,,,,no,,,,repetition
Fax/photocopying,services,,,,,no,,,,repetition
Room service,services,,,,,no,,,,repetition
Private check-in/check-out,services,,,,,no,,,,repetition
Daily housekeeping,services,,,,,no,,,,repetition
Concierge service,services,,,,,no,,,,repetition
Babysitting/child services,services,,,,,no,,,,repetition
Packed lunches,services,,,,,no,,,,repetition
Car rental,services,,,,,no,,,,repetition
Express check-in/out,services,,,,,no,,,,repetition
ATM on site,services,AmenityArea,,yes,new_class,yes,,,,
Suit press,services,,,,,no,,,,repetition
Express check-in/check-out,services,,,,,no,,,,repetition
Internet facilities,services,AmenityArea,,yes,new_class,yes,,,,
Pet bowls,services,,,,,no,,,,
Baggage storage,services,,LuggageRoom,yes,label,yes,LuggageRoom,,,
Private check-in/out,services,,,,,no,,,,repetition
Wake-up service,services,,,,,no,,,,repetition
Laundry,services,,Laundry,,same,no,Laundry,,,
Ironing service,services,,,,,no,,,,
ATM/cash machine on site,services,,AtmOnSite,yes,label,yes,AtmOnSite,,,
Meeting/Banquet facilities,services,,,,,no,,,,repetition
Concierge,services,,,,,no,,,,repetition
Wake-up service/Alarm clock,services_e_extras,,,,,no,,,,repetition
Tickets to attractions or shows,services_e_extras,,,,,no,,,,repetition
Wake-up service,services_e_extras,,,,,no,,,,repetition
Wake up service/Alarm clock,services_e_extras,,,,,no,,,,repetition
Executive lounge access,services_e_extras,,,,,no,,,,repetition
Tickets to shows/attractions,services_e_extras,,,,,no,,,,repetition
Mini-market on site,shops,,,,,no,,,,repetition
Shops (on site),shops,,,,,no,,,,repetition
Barber/beauty shop,shops,,,,,no,,,,repetition
Convenience store (on site),shops,,,,,no,,,,repetition
Gift shop,shops,,,,,no,,,,repetition
Hair/Beauty salon,shops,,,,,no,,,,repetition
Airport pick up,transport,,AirportShuttle,yes,label,yes,AirportShuttle,,,
Bicycle rental (additional charge),transport,,,,,no,,,,repetition
Car hire,transport,,,,,no,,,,repetition
Airport shuttle (additional charge),transport,,,,,no,,,,repetition
Shuttle service,transport,,,,,no,,,,repetition
Public transport tickets,transport,Service,,yes,new_class,yes,,,,
Shuttle service (free),transport,,,,,no,,,,repetition
Shuttle service (additional charge),transport,,,,,no,,,,repetition
Airport drop off,transport,,AirportShuttle,yes,label,yes,AirportShuttle,,,
Airport shuttle,transport,,,,,no,,,,repetition
Garden view,view,,,,,no,,,,repetition
Inner courtyard view,view,,,,,no,,,,repetition
View,view,,,,,no,,,,repetition
Landmark view,view,,,,,no,,,,repetition
Spa and wellness centre,wellness_facilities,,,,,no,,,,repetition
Spa/wellness packages,wellness_facilities,,FitnessService,yes,label,yes,FitnessService,,,
Spa lounge/relaxation area,wellness_facilities,DaySpa,,yes,new_class,yes,,,,
Beauty Service,wellness_facilities,Service,,yes,new_class,yes,,,,
Body wrap,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Hair styling,wellness_facilities,HairCare,,yes,new_class,yes,,,,
Hair treatments,wellness_facilities,HairCare,,yes,new_class,yes,,,,
Personal trainer,wellness_facilities,FitnessService,,yes,new_class,yes,,,,
Massage,wellness_facilities,FitnessService,,yes,new_class,yes,,,,
Full body massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Fitness/spa locker rooms,wellness_facilities,,,,,no,,,,repetition
Massage,wellness_facilities,SpaCentre,Massage,,same,no,Massage,,,
Foot bath,wellness_facilities,FitnessService,,yes,new_class,yes,,,,
Open-air bath,wellness_facilities,AmenityArea,,yes,new_class,yes,,,,
Solarium,wellness_facilities,AmenityArea,,yes,new_class,yes,,,,
Make up services,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Hand massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Neck massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Body Treatments,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Pedicure,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Waxing services,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Facial treatments,wellness_facilities,BeautyService,,v,new_class,yes,,,,
Head massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Light therapy,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Hair colouring,wellness_facilities,HairCare,,yes,new_class,yes,,,,
Fitness centre,wellness_facilities,,,,,no,,,,repetition
Couples massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Back massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Manicure,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Hot tub/jacuzzi,wellness_facilities,,,,,no,,,,repetition
Massage chair,wellness_facilities,Massage,,yes,new_class,yes,,,,
Fitness classes,wellness_facilities,FitnessService,,yes,new_class,yes,,,,
Yoga classes,wellness_facilities,FitnessService,,yes,new_class,yes,,,,
Sauna,wellness_facilities,,,,,no,,,,repetition
Steam room,wellness_facilities,,,,,no,,,,repetition
Sun loungers or beach chairs,wellness_facilities,Equipment,,yes,new_class,yes,,,,
Public Bath,wellness_facilities,,PublicToilet,yes,label,yes,PublicToilet,,,
Fitness,wellness_facilities,,,,,no,,,,
Foot massage,wellness_facilities,Massage,,yes,new_class,yes,,,,
Spa Facilities,wellness_facilities,,DaySpa,yes,label,yes,DaySpa,,,
Hammam,wellness_facilities,,,,,no,,,,repetition
Sun umbrellas,wellness_facilities,Equipment,,yes,new_class,yes,,,,
Body scrub,wellness_facilities,BeautyService,,yes,new_class,yes,,,,
Pool/beach towels,wellness_facilities,Equipment,,yes,new_class,yes,,,,
Hair cut,wellness_facilities,HairCare,,yes,new_class,yes,,,,
